Subject,Session,Environment,Condition,Version
1,2,Classroom,RIRM,Ver1
2,1,Classroom,IRMR,Ver1
3,2,Classroom,MRIR,Ver1
4,1,Classroom,RIRM,Ver2
5,2,Classroom,IRMR,Ver2
6,1,Classroom,MRIR,Ver2
7,2,Classroom,RIRM,Ver1
8,1,Classroom,IRMR,Ver1
9,2,Classroom,MRIR,Ver1
10,1,Classroom,RIRM,Ver2
11,2,Classroom,IRMR,Ver2
12,1,Classroom,MRIR,Ver2
13,2,Classroom,RIRM,Ver1
14,1,Classroom,IRMR,Ver1
15,2,Classroom,MRIR,Ver1
16,1,Classroom,RIRM,Ver2
17,2,Classroom,IRMR,Ver2
18,1,Classroom,MRIR,Ver2
19,2,Classroom,RIRM,Ver1
20,1,Classroom,IRMR,Ver1
21,2,Classroom,MRIR,Ver1
22,1,Classroom,RIRM,Ver2
23,2,Classroom,IRMR,Ver2
24,1,Classroom,MRIR,Ver2
25,2,Classroom,RIRM,Ver1
,,,,
27,2,Classroom,MRIR,Ver1
28,1,Classroom,RIRM,Ver2
29,2,Classroom,IRMR,Ver2
30,1,Classroom,MRIR,Ver2
31,2,Classroom,RIRM,Ver1
32,1,Classroom,IRMR,Ver1
33,2,Classroom,MRIR,Ver1
34,1,Classroom,RIRM,Ver2
35,2,Classroom,IRMR,Ver2
36,1,Classroom,MRIR,Ver2
37,2,Classroom,RIRM,Ver1
38,1,Classroom,MRIR,Ver1
39,1,Classroom,RIRM,Ver1
41,2,Classroom,RIRM,Ver2
42,2,Classroom,IRMR,Ver1
43,1,Classroom,IRMR,Ver2
44,2,Classroom,MRIR,Ver2
45,1,Classroom,RIRM,Ver1
46,2,Classroom,RIRM,Ver2
47,2,Classroom,IRMR,Ver1
48,1,Classroom,IRMR,Ver2
49,1,Classroom,MRIR,Ver1
50,2,Classroom,MRIR,Ver2
51,1,Classroom,RIRM,Ver1
52,2,Classroom,RIRM,Ver2
53,2,Classroom,IRMR,Ver1
54,1,Classroom,IRMR,Ver2
55,1,Classroom,MRIR,Ver1
56,2,Classroom,MRIR,Ver2
57,1,Classroom,RIRM,Ver1
58,2,Classroom,RIRM,Ver2
59,2,Classroom,IRMR,Ver1
61,1,Classroom,IRMR,Ver2
62,2,Classroom,IRMR,Ver1
63,1,Classroom,RIRM,Ver1
64,1,Classroom,MRIR,Ver1
65,2,Classroom,MRIR,Ver2
